,search_terms,term_1,term_2,title,authors,year,venue,type,key,url,ee,pages,volume,number,publisher,isbn,doi
59,Schema Evolution,Schema,Evolution,EvoBench: Benchmarking Schema Evolution in NoSQL.,"['André Conrad', 'Mark Lukas Möller', 'Tobias Kreiter', 'Jan-Christopher Mair', 'Meike Klettke', 'Uta Störl']",2021,TPCTC,Conference and Workshop Papers,conf/tpctc/ConradMKMKS21,https://dblp.org/rec/conf/tpctc/ConradMKMKS21,https://doi.org/10.1007/978-3-030-94437-7_3,33-49,,,,,10.1007/978-3-030-94437-7_3
60,Schema Evolution,Schema,Evolution,Assessing the Occurrence of Blocking Operations in Database Schema Evolution: A Case Study.,"['Willie Lawrence', 'Eiji Adachi Barbosa']",2021,VEM,Conference and Workshop Papers,conf/vem/LawrenceB21,https://dblp.org/rec/conf/vem/LawrenceB21,https://doi.org/10.5753/vem.2021.17209,6-10,,,,,10.5753/VEM.2021.17209
61,Schema Evolution,Schema,Evolution,An Empirical Characterization of Event Sourced Systems and Their Schema Evolution - Lessons from Industry.,"['Michiel Overeem', 'Marten Spoor', 'Slinger Jansen', 'Sjaak Brinkkemper']",2021,CoRR,Informal and Other Publications,journals/corr/abs-2104-01146,https://dblp.org/rec/journals/corr/abs-2104-01146,https://arxiv.org/abs/2104.01146,,abs/2104.01146,,,,
62,Schema Evolution,Schema,Evolution,Research of Schema Evolution and Implementation Scheme Optimization in AI-Enabled Embedded Systems.,[],2021,Wirel. Commun. Mob. Comput.,Withdrawn Items,journals/wicomm/ZhangZZY21,https://dblp.org/rec/journals/wicomm/ZhangZZY21,https://doi.org/10.1155/2021/3591427,3591427:1-3591427:10,2021,,,,10.1155/2021/3591427
63,Schema Evolution,Schema,Evolution,EvoBench - A Framework for Benchmarking Schema Evolution in NoSQL.,"['Mark Lukas Möller', 'Meike Klettke', 'Uta Störl']",2020,IEEE BigData,Conference and Workshop Papers,conf/bigdataconf/MollerKS20,https://dblp.org/rec/conf/bigdataconf/MollerKS20,https://doi.org/10.1109/BigData50022.2020.9378278,1974-1984,,,,,10.1109/BIGDATA50022.2020.9378278
64,Schema Evolution,Schema,Evolution,Why It Is Time for Yet Another Schema Evolution Benchmark - Visionary Paper.,"['Mark Lukas Möller', 'Stefanie Scherzinger', 'Meike Klettke', 'Uta Störl']",2020,CAiSE Forum,Conference and Workshop Papers,conf/caise/MollerSKS20,https://dblp.org/rec/conf/caise/MollerSKS20,https://doi.org/10.1007/978-3-030-58135-0_10,113-125,,,,,10.1007/978-3-030-58135-0_10
65,Schema Evolution,Schema,Evolution,PolyMigrate: Dynamic Schema Evolution and Data Migration in a Distributed Polystore.,"['Alexander Stiemer', 'Marco Vogt 0001', 'Heiko Schuldt', 'Uta Störl']",2020,Poly/DMAH@VLDB,Conference and Workshop Papers,conf/dmah-ws/StiemerVSS20,https://dblp.org/rec/conf/dmah-ws/StiemerVSS20,https://doi.org/10.1007/978-3-030-71055-2_4,42-53,,,,,10.1007/978-3-030-71055-2_4
66,Schema Evolution,Schema,Evolution,NoSQL Schema Evolution and Data Migration: State-of-the-Art and Opportunities.,"['Uta Störl', 'Meike Klettke', 'Stefanie Scherzinger']",2020,EDBT,Conference and Workshop Papers,conf/edbt/StorlKS20,https://dblp.org/rec/conf/edbt/StorlKS20,https://doi.org/10.5441/002/edbt.2020.87,655-658,,,,,10.5441/002/EDBT.2020.87
67,Schema Evolution,Schema,Evolution,Replicability and Reproducibility of a Schema Evolution Study in Embedded Databases.,"['Dimitri Braininger', 'Wolfgang Mauerer', 'Stefanie Scherzinger']",2020,ER,Conference and Workshop Papers,conf/er/BrainingerMS20,https://dblp.org/rec/conf/er/BrainingerMS20,https://doi.org/10.1007/978-3-030-65847-2_19,210-219,,,,,10.1007/978-3-030-65847-2_19
68,Schema Evolution,Schema,Evolution,A Study on the Effect of a Table&apos;s Involvement in Foreign Keys to its Schema Evolution.,"['Konstantinos Dimolikas', 'Apostolos V. Zarras', 'Panos Vassiliadis']",2020,ER,Conference and Workshop Papers,conf/er/DimolikasZV20,https://dblp.org/rec/conf/er/DimolikasZV20,https://doi.org/10.1007/978-3-030-62522-1_34,456-470,,,,,10.1007/978-3-030-62522-1_34
69,Schema Evolution,Schema,Evolution,An Empirical Study on the Design and Evolution of NoSQL Database Schemas.,"['Stefanie Scherzinger', 'Sebastian Sidortschuck']",2020,ER,Conference and Workshop Papers,conf/er/ScherzingerS20,https://dblp.org/rec/conf/er/ScherzingerS20,https://doi.org/10.1007/978-3-030-62522-1_33,441-455,,,,,10.1007/978-3-030-62522-1_33
