"10.1016/j.procs.2014.09.064", "Assessing the Auto Associative Network Approach for Prediction in Civil Engineering Databases.", "Complex Adaptive Systems", "2014", "Hakan Yasarer, Yacoub Najjar", "conf/complexsystems/YasarerN14", "Conference and Workshop Papers"
"10.1109/fskd.2014.6980907", "Adaptively incremental dictionary compression method for column-oriented database.", "FSKD", "2014", "Hui Liu, Zhijing Liu, Tong Yuan, Yong Yao", "conf/fskd/LiuLYY14", "Conference and Workshop Papers"
"10.1007/s10619-012-7093-3", "Adaptive data acquisition strategies for energy-efficient, smartphone-based, continuous processing of sensor streams.", "Distributed Parallel Databases", "2013", "Lipyeow Lim, Archan Misra, Tianli Mo", "journals/dpd/LimMM13", "Journal Articles"
"10.1504/ijiids.2013.057424", "Research on adaptive classification algorithm based on non-segment and classified-centre-vector.", "Int. J. Intell. Inf. Database Syst.", "2013", "Kai Gao, Xiang Wang, Wei Wang", "journals/ijiids/GaoWW13", "Journal Articles"
"10.1504/ijiids.2013.057419", "Adaptive image restoration by a novel neuro-fuzzy approach using complex fuzzy sets.", "Int. J. Intell. Inf. Database Syst.", "2013", "Chunshien Li", "journals/ijiids/Li13", "Journal Articles"
"10.3233/978-1-61499-289-9-1083", "Exploring Barriers for Health Visitors&apos; Adaption of the Danish Children&apos;s Database.", "MedInfo", "2013", "Louise Pape-Haugaard, Karin Haugaard, Per Carøe, Anna Marie Høstgaard", "conf/medinfo/Pape-HaugaardHCH13", "Conference and Workshop Papers"
"10.1007/s10619-011-7086-7", "Satisfaction-based query replication - An automatic and self-adaptable approach for replicating queries in the presence of autonomous participants.", "Distributed Parallel Databases", "2012", "Jorge-Arnulfo Quiané-Ruiz, Philippe Lamarre, Patrick Valduriez", "journals/dpd/Quiane-RuizLV12", "Journal Articles"
"10.1504/ijiids.2012.049312", "Biomedical user adaptive system for smart environments.", "Int. J. Intell. Inf. Database Syst.", "2012", "Ondrej Krejcar, Dalibor Janckulík, Leona Motalova, Petr Czekaj", "journals/ijiids/KrejcarJMC12", "Journal Articles"
"10.11575/prism/4503", "A bounded and adaptive memory based approach to mine frequent patterns from huge databases.", "undefined", "2011", "Muhaimenul Adnan", "phd/basesearch/Adnan11", "Books and Theses"
"10.1504/ijiids.2011.040086", "An agent model integrating an adaptive model for environmental dynamics.", "Int. J. Intell. Inf. Database Syst.", "2011", "Jan Treur, Muhammad Umair", "journals/ijiids/TreurU11", "Journal Articles"
